iter	MultiClass
0	4.299970666
1	4.264760963
2	4.228053728
3	4.1895695
4	4.164432837
5	4.135801133
6	4.106324503
7	4.079850727
8	4.050815638
9	4.022356365
10	3.992707958
11	3.962875084
12	3.933070091
13	3.904621658
14	3.877629557
15	3.849790129
16	3.828325801
17	3.795587159
18	3.769499766
19	3.747015177
20	3.722046341
21	3.699039166
22	3.66851573
23	3.644512365
24	3.619926805
25	3.593086956
26	3.570543913
27	3.542771594
28	3.51957133
29	3.495072588
30	3.472807629
31	3.450004766
32	3.427523454
33	3.403283461
34	3.379612668
35	3.357474501
36	3.337203958
37	3.317356495
38	3.297533175
39	3.276049454
40	3.25640939
41	3.23681783
42	3.21905833
43	3.20037916
44	3.181407554
45	3.16343177
46	3.144540177
47	3.12779953
48	3.112088377
49	3.095683066
50	3.077349826
51	3.059284451
52	3.0424779
53	3.0239628
54	3.007207291
55	2.989368665
56	2.972625244
57	2.9558405
58	2.941746181
59	2.927698614
60	2.912806714
61	2.897546401
62	2.880714916
63	2.864977926
64	2.849520968
65	2.83595442
66	2.819911913
67	2.803443611
68	2.789625828
69	2.776932599
70	2.762470197
71	2.74769444
72	2.7321981
73	2.718145836
74	2.705350628
75	2.693222788
76	2.679239744
77	2.665418351
78	2.653571065
79	2.639306156
80	2.626298371
81	2.614496955
82	2.602764749
83	2.590257294
84	2.576807311
85	2.564250609
86	2.54892985
87	2.536625101
88	2.522271497
89	2.510576916
90	2.501455022
91	2.49088444
92	2.478956027
93	2.467446164
94	2.455949806
95	2.443486462
96	2.433232188
97	2.4220154
98	2.410853228
99	2.400253211
100	2.388097239
101	2.379052456
102	2.367803058
103	2.360042306
104	2.349320283
105	2.337606756
106	2.32710705
107	2.317184801
108	2.307109893
109	2.29561061
110	2.287908344
111	2.277220939
112	2.265990284
113	2.257040373
114	2.248084594
115	2.240908379
116	2.233119149
117	2.225296523
118	2.214546701
119	2.205201762
120	2.197290423
121	2.188672762
122	2.179969353
123	2.171060971
124	2.16270787
125	2.153818098
126	2.146493309
127	2.136957512
128	2.129147147
129	2.120585954
130	2.113708967
131	2.107203577
132	2.099531794
133	2.092774268
134	2.087091532
135	2.078664582
136	2.069613683
137	2.061203342
138	2.053508661
139	2.048505179
140	2.040840447
141	2.034260206
142	2.025813731
143	2.019538456
144	2.014776581
145	2.00932798
146	2.003181514
147	1.995587009
148	1.987288286
149	1.980500745
150	1.974941824
151	1.967783562
152	1.959542549
153	1.953414582
154	1.947645251
155	1.939339872
156	1.930681985
157	1.922842914
158	1.916102523
159	1.90858686
160	1.901164714
161	1.895136457
162	1.889282359
163	1.882093896
164	1.87560511
165	1.87019051
166	1.863962021
167	1.856802098
168	1.849051321
169	1.844034441
170	1.836764587
171	1.830598013
172	1.825653886
173	1.819489525
174	1.812443342
175	1.804967348
176	1.798931597
177	1.792918463
178	1.787992946
179	1.781633173
180	1.774447512
181	1.769263949
182	1.764726128
183	1.759058436
184	1.752960834
185	1.746288771
186	1.740006136
187	1.734162876
188	1.730477972
189	1.724124012
190	1.718167519
191	1.712689202
192	1.708070033
193	1.701753791
194	1.695669759
195	1.689484778
196	1.683492042
197	1.67761228
198	1.670307331
199	1.664300286
200	1.658338849
201	1.652805474
202	1.647879463
203	1.642861203
204	1.637112807
205	1.635876302
206	1.630245028
207	1.62506939
208	1.621030776
209	1.616541876
210	1.610131985
211	1.606212349
212	1.600388027
213	1.595327978
214	1.592519398
215	1.587471274
216	1.580800568
217	1.575884278
218	1.571310399
219	1.566661544
220	1.565380077
221	1.562409895
222	1.560037528
223	1.554401646
224	1.549186163
225	1.544602277
226	1.54072609
227	1.535913388
228	1.531981983
229	1.527663484
230	1.522886276
231	1.517882937
232	1.51255679
233	1.507726449
234	1.501897959
235	1.496194659
